,word,count,mean
570,kill,1,0.8776102986893882
1041,trillion,1,0.668535815469511
494,hill,1,0.6652802958575049
268,demogorgon,1,0.6571938516416265
1004,theres,1,0.657164311763346
752,pet,1,0.6500144897683785
8,1h30,1,0.6411257585957235
975,suppose,1,0.6299928540600771
188,change,2,0.605440265709384
796,program,1,0.5684795350492555
877,scripted,1,0.526779076493369
502,hoped,2,0.48167835827180416
117,belive,1,0.46609938890289954
798,proper,1,0.458915517787979
129,blockbuster,1,0.45170459588580497
1097,waste,22,0.4279242851602692
442,glasses,1,0.40607710927545965
419,freaking,1,0.4036128418964164
893,shocking,2,0.40112895822390404
310,drivel,2,0.37475250406537525
654,missed,2,0.37355276252021663
48,age,2,0.36344007488945906
848,right,5,0.35603373897219204
942,starting,2,0.3368577117591981
180,cartel,1,0.33269016430080894
481,hated,1,0.3286741738847638
703,okish,1,0.3177588960027674
140,boring,11,0.2999030944971898
1049,try,4,0.2987260577207083
1086,visually,2,0.29348112891885814
758,pilots,1,0.2897817012581148
312,dull,6,0.2895431361163914
1123,wife,2,0.2833830723074995
1144,worst,10,0.27649909241687387
1151,wrote,1,0.2761234262091308
748,peril,1,0.27433044731437883
1137,work,9,0.27410639218939026
1126,wise,1,0.2665882624382358
876,script,15,0.2660814314108848
497,ho,1,0.2610244059914486
181,cartoonish,1,0.25909876792204595
139,boredom,1,0.2556645224490951
814,read,3,0.24880594818031573
1029,tired,1,0.2477232722192434
990,terrible,16,0.24671243736124407
325,em,1,0.24646723267290288
501,hope,4,0.24537960061446615
302,discs,1,0.2402374233604565
96,awful,11,0.2400279983157482
432,garbage,4,0.23070396470181267
867,scenario,1,0.22699378738434547
301,disc,4,0.22560161584249852
298,disappointing,6,0.22453162369100488
871,scenes,7,0.22403930759047697
605,lines,3,0.22250896569976217
39,actors,11,0.22194873639940804
854,rubbish,15,0.22087488739551428
1040,tried,2,0.21686970339711387
574,knew,2,0.21602342650982737
941,started,6,0.2121039897885902
730,pants,1,0.2111651398614673
1088,wahlburg,1,0.20953500136040545
1050,trying,5,0.20626359780820946
827,region,1,0.20610891044719842
811,rare,1,0.2057885682879797
520,idea,4,0.20464478381718562
612,local,1,0.202608858809502
813,rating,2,0.20231430368806413
545,involvement,1,0.20167602810304103
1150,written,2,0.19583721815469585
1060,unexplainable,1,0.19514232711459964
728,paid,3,0.19269824835445507
712,order,1,0.19250079095610279
963,stupid,6,0.18951684088583529
810,rapidly,1,0.1891856357341019
1161,zero,1,0.18812902207025592
1074,vaguely,1,0.1870298100778626
948,stephen,1,0.18672863733334713
775,poop,1,0.18501890009141678
467,gun,1,0.184218752347851
201,choose,1,0.1841415022195433
1139,works,5,0.18410309434783861
1044,tripe,1,0.18379714935195138
976,sure,5,0.1833752334694832
744,peeta,2,0.18302194086508744
1037,trailer,1,0.18132806605736415
1066,unusable,1,0.1771887818295085
540,interesting,2,0.17595839186456944
193,cheap,2,0.1752799837595514
587,leave,3,0.17432904326356816
652,minutes,10,0.17348554853012862
143,bother,5,0.17130466933286867
369,fabulous,1,0.17076168897107974
958,streaming,1,0.16981757246120313
949,stereotypical,1,0.169745680132324
936,star,8,0.1692571007162046
32,acceptable,1,0.16872195722650724
1063,uninteresting,1,0.16791508568105082
365,extortionate,1,0.1677680454238105
203,chose,1,0.16742256818304127
950,steve,1,0.1667800166850181
289,dimensioni,1,0.16349842174268045
73,apartment,1,0.16304726412190218
328,encoded,1,0.1624416135118511
847,ridiculous,5,0.16226650956480157
42,adventurethriller,1,0.16118281964146428
776,poor,32,0.1594194796561858
352,exactly,1,0.15866743959822235
147,bowel,1,0.15827339070209098
457,grandchildren,1,0.1579791553954626
582,laugh,1,0.15786785238927611
755,pick,1,0.15751543597216883
450,goodokay,1,0.15739639685144263
637,maybe,2,0.15719833563976895
223,completely,1,0.15642444266293312
993,territory,1,0.15579047351914396
327,emotional,2,0.15567697380829648
242,crapnessif,1,0.15532977702358813
626,low,1,0.15435964692100407
163,bull,1,0.15402372492392696
767,plot,40,0.1536702359090804
483,hd,1,0.15288843291992063
31,absolutely,5,0.15242756661435095
647,messy,1,0.15233763469543612
768,plots,2,0.15172355761007417
1110,website,1,0.15104243538814435
1059,underused,2,0.14986862765901945
81,asleep,2,0.14981889143082072
246,cringey,1,0.1483854416109526
670,mum,1,0.14816209552771564
34,acting,11,0.1479339900100718
30,absolute,6,0.14723059753198045
421,fresh,2,0.14679444796135793
770,pointless,2,0.14568416805655907
13,2021,1,0.1453824709481423
495,hiring,1,0.14529122427095206
970,sum,1,0.14520220979842405
1098,wasted,7,0.14516283231623836
973,sunlight,1,0.1444499118599385
97,awkward,1,0.14425051051742827
1002,themway,1,0.14386817604993868
782,pratts,1,0.1432079751535806
718,outstanding,1,0.14313043724084007
45,aesthetic,1,0.14252606671996843
969,suggest,1,0.14214232253867323
645,mess,4,0.14179849848943346
931,sprained,1,0.14178440834648381
1045,tropeclich,1,0.14159832489994834
738,patch,3,0.14142433307992994
383,fatherinlaws,1,0.14140619017495318
546,irony,1,0.14083814757335586
903,singing,1,0.14026988716318137
486,helicopter,1,0.1393920224685771
732,partially,1,0.13899458251643504
58,amazon,15,0.13814161881312606
690,nonexciting,1,0.1380373480247734
742,pay,1,0.13790201426754264
904,sings,1,0.13764105274960792
601,likely,2,0.13745994212729779
523,ignore,1,0.13744922041299562
1159,youdavid,1,0.13742876454444053
739,pathetic,1,0.13632209168397288
276,despatched,1,0.13591726544867572
342,entire,1,0.13581926236142372
530,indescribably,1,0.13534765623412504
18,410storyline,1,0.13459134846703433
40,actual,1,0.13397373952083635
845,revisiting,1,0.13363863756746663
10,2,5,0.1336135292950041
971,summon,1,0.1335545642840936
458,grandson,1,0.13284179295538967
451,goofy,1,0.13268062980919182
638,mean,2,0.13258729433321656
309,dribble,1,0.13256600974292418
59,amazons,1,0.1323763726093787
521,ideas,1,0.13173615734054925
627,lunch,1,0.13171501830583557
364,explanations,1,0.1312138008634215
868,scene,1,0.1309672028214752
972,sums,1,0.13078759155358927
158,btw,1,0.1303141924593729
1039,travel,3,0.12910959063195748
11,2015,1,0.128773591119272
1136,words,2,0.12835316070544478
115,believable,1,0.12691393237373183
132,bombing,1,0.12649347599215446
443,glories,1,0.12526401177511218
271,denouement,1,0.12370533094887445
404,finish,1,0.12344718412215697
567,katniss,1,0.12282695052205625
363,explain,1,0.12224941445744947
630,mail,1,0.122175416668669
596,liams,1,0.12144772721388049
998,thats,3,0.12071596434454228
614,logical,1,0.12066072296163916
67,annoy,1,0.11948456999506413
111,bearable,1,0.11941179073986664
599,like,46,0.11804501025255912
1101,watched,14,0.1159914222438003
1131,wolves,1,0.11546827378760985
204,chris,2,0.11486093960190848
101,bad,40,0.11470629085134605
393,fi,1,0.1146030663580529
619,looks,2,0.11423763751945581
212,co,1,0.11407132835873636
444,glued,2,0.11401773473673946
1013,thisspoilers,1,0.11366278068537417
745,people,8,0.11293292965663083
187,cgi,3,0.11174675187042615
434,generic,1,0.11170249051683506
586,league,1,0.11056358539298455
154,broke,1,0.11045062479116005
602,likemen,1,0.11006780288198796
431,games,6,0.10973057393268121
858,running,3,0.10948149053090939
102,baddie,1,0.10874404517713614
307,dozen,1,0.10796949303298098
232,corny,1,0.10744811036973145
490,hiddleston,1,0.10719316989793497
957,strangely,1,0.107092534849237
165,burner,1,0.10701614885033976
633,manage,1,0.10669073298107545
891,set,1,0.10663636715366742
1018,thoughtldr,1,0.10597657750818393
894,shoot,2,0.10596344778743703
917,son,1,0.10591176571982554
324,element,1,0.10560617077452275
144,bothered,2,0.10512540738630283
852,routine,1,0.10411252812520763
938,stars,8,0.10385860607159231
1016,though,3,0.10181119288921543
1138,worked,1,0.10177285099098096
456,grand,1,0.10171541125452208
896,shunts,1,0.10166711274432906
114,been,2,0.10111664870363188
781,pratt,2,0.10058370369348554
568,keanu,1,0.100143110086607
493,hilarious,1,0.09995264616301655
366,extras,1,0.0993834469075775
472,hand,1,0.09916316274631247
693,nonsensical,1,0.0975347008360792
1057,understand,2,0.09621716222752413
988,tell,1,0.09597841556170868
1132,women,1,0.09585323826678209
105,barely,1,0.095400633100308
319,effects,15,0.09524417765613266
103,badly,2,0.09518659822090658
1023,till,1,0.09396856083621584
503,hopes,1,0.09317805923289375
531,indiana,1,0.09307705409076274
1048,trusted,1,0.09264419520667544
224,complex,1,0.09257113583780252
241,crap,2,0.09246675776611135
788,pretty,5,0.09233777769392998
416,forget,1,0.09107025535013161
940,start,7,0.09092880723931666
267,delivery,1,0.09086997327326425
512,human,1,0.09055179230166162
280,diabolical,1,0.08995037362078007
1108,wears,1,0.08994385087386744
1149,writing,4,0.08958555516810435
743,paying,1,0.0884306048879183
791,print,2,0.08733943580586798
669,much,5,0.08643926821038762
1006,thing,5,0.0860255275864562
470,hadnt,1,0.08579508245004226
959,struggling,1,0.08552088432309628
929,spent,2,0.08541751577986428
1022,thrown,1,0.08495235732666737
542,interstellar,1,0.08481320347204095
106,bargain,1,0.08436008152361398
331,engaging,2,0.08420013394526094
783,predicatable,1,0.08391039694708022
77,arch,1,0.08380491757036604
1143,worse,8,0.08317620696628328
248,cup,1,0.0829971082408513
837,repeatalien,1,0.08281538345504741
258,daughters,1,0.08171531285601744
418,found,5,0.08144165998952903
529,incredibly,2,0.08029048010558884
563,jumps,1,0.0800530582553059
210,climate,1,0.08005269006666382
247,cult,1,0.07988097349208839
943,starts,3,0.07953092927056542
401,finding,1,0.07926463640745168
1046,trouble,1,0.07923228736461922
661,month,1,0.07896413983212112
653,miscast,2,0.07848679488500218
306,door,1,0.07839296736541276
1148,write,3,0.07819131428148428
281,dialog,1,0.0781730584298068
1078,version,4,0.07785204744301333
763,play,2,0.07780721317768159
1026,timescales,1,0.07751632530528368
908,sloppy,1,0.07750816281245289
441,glass,2,0.0771090188204393
98,awkwardly,2,0.0760710389582597
400,find,7,0.07493340504805661
435,genre,1,0.07461686552883189
824,recommendations,1,0.07451263966602319
704,old,6,0.07360892451747908
1051,turn,3,0.07340834482878111
604,line,12,0.07315123680583165
166,bursting,1,0.07201724944942937
12,2018,1,0.07154581815194551
1091,wannabe,1,0.07141707314428933
195,check,1,0.07120702622544521
351,exact,1,0.07112175122001803
239,cracked,1,0.07100316322128097
185,certainly,1,0.07099033251897775
46,aficionados,1,0.07073753927239108
857,runner,3,0.06978263473469186
966,success,1,0.06968689500851631
159,buckets,1,0.0691534386167962
535,instead,1,0.06866762789624993
717,outits,1,0.06842585336558368
729,panache,1,0.06836172367267788
581,large,1,0.06820465527437808
1153,xxx,1,0.0681949462570636
381,far,8,0.06780147045986715
734,partly,1,0.06709159858886399
937,starred,1,0.0668856371904176
539,interested,1,0.06646809429019024
253,da,1,0.06612408153205485
740,pathos,1,0.066003951786165
1099,watch,48,0.06583607789935685
817,realism,1,0.0655162915696119
1102,watching,21,0.06546588782434264
691,nonexistent,1,0.06523596172815348
33,acted,1,0.06492961882564928
683,new,2,0.06440027780043467
427,funny,2,0.06414846398524529
558,job,1,0.06405202334309268
1081,viewed,1,0.06393804937669594
906,sliced,1,0.06296469567168925
843,result,1,0.062137094845770915
452,goos,1,0.06137498137293376
1134,wooden,2,0.06134752716099924
229,continuous,1,0.06130606321208639
250,customers,1,0.06095542261757881
844,reviews,3,0.06085318163335074
983,talking,2,0.06067964197703692
346,equal,1,0.06060900989532929
726,packaging,1,0.06060660164358945
296,disappointed,8,0.06024866918302266
465,guaranteed,1,0.06014095679472151
283,dialoguethe,1,0.06000205836030446
505,horrifying,1,0.059979485737948444
580,lansbury,1,0.05984579010640894
905,skyfall,1,0.05946767449844051
358,expanse,1,0.05931146419074885
43,adverse,1,0.059032436637965965
924,speech,1,0.058845063762728037
169,butler,1,0.0587417268232521
618,looking,1,0.05862672989960633
1007,things,2,0.05773578913386231
534,inspiring,1,0.05687473094699011
17,370p,1,0.05684600092952446
56,amateur,1,0.05624890410844945
978,survive,1,0.05617942202613015
911,so,2,0.05574847977323788
861,safely,1,0.055580736219171666
606,linethe,1,0.055239244190737946
583,laughing,1,0.0551068391555423
299,disappointment,1,0.05507041340136021
932,springs,1,0.05505069039128659
337,enormous,1,0.055012996955762755
840,resent,1,0.0530438336395828
779,potential,2,0.05283653215104038
356,execute,1,0.051717554449372614
104,balance,1,0.05131155712982163
468,guys,1,0.05123794337445487
687,nitpicky,1,0.05122354286561396
1083,vin,2,0.051034134147483055
213,code,2,0.05040880770129551
1009,thinking,1,0.04998911049133901
134,bondlike,1,0.04978750821000649
800,proved,1,0.049425816658537264
1073,uv,1,0.04941775266065599
294,disapointing,1,0.04925535813963998
371,fact,3,0.04906751007440794
513,humour,3,0.048824353143056894
945,stay,1,0.048633116064999905
345,episodes,1,0.04855194894507874
291,directed,1,0.04854500908948244
979,suspense,1,0.04780422149093155
1015,thoroughly,1,0.047692197525659764
786,present,1,0.04737968360283623
504,hoping,1,0.04693649584114131
124,bitrate,1,0.0468388739760127
692,nononsense,1,0.04682397914062729
646,messes,1,0.046685586554080005
24,70,2,0.04657764445230185
308,draw,1,0.04656969538364641
1069,update,1,0.04654375669803612
182,cash,3,0.04633114491596282
851,rooting,1,0.04591240977289838
207,clever,1,0.04590094859705147
747,performances,1,0.04576524032762191
74,appeal,1,0.04575401996252846
484,hear,2,0.045433674143152275
939,starsstd,1,0.04537274455005785
721,overall,1,0.04519571372755075
330,ending,13,0.0450975004447738
252,cutter,1,0.04501139848769724
384,favourite,2,0.04467385284200132
99,b,2,0.04430888830050963
408,flames,1,0.04430731917351535
1090,waltz,1,0.04397338402184306
953,story,41,0.043605278333508274
2,12,2,0.04352854183955738
148,box,2,0.04352840924296738
65,angels,1,0.04342833262627526
274,deserved,1,0.04341629675847284
1121,wholesome,1,0.04321914180093461
864,satisfying,1,0.043128243980831135
725,packaged,1,0.043112525278866734
282,dialogue,2,0.04293553302027197
1082,viewing,1,0.04268398920311966
571,kind,1,0.04255506567803402
842,rest,1,0.042234834811530765
454,got,1,0.04216490832639873
771,pointlessly,1,0.041604247975643154
678,near,2,0.041430587903065724
765,playing,2,0.04131288981145278
466,guess,2,0.04130029438339732
500,honest,2,0.040622007280546456
865,say,1,0.03987996969837983
226,confusing,2,0.03982080892729668
753,philosophical,1,0.039728869063028735
773,political,1,0.03964439929140157
818,really,2,0.039588952436066284
288,difficult,2,0.0394731493951042
344,episode,1,0.03925753293394588
815,reading,1,0.0391120573400222
1103,way,8,0.03879718048767827
668,moving,1,0.038636347058693246
892,shadow,1,0.03863105667316512
300,disbelief,1,0.03848714314784073
918,soulless,1,0.03726914927888706
1017,thought,8,0.03692388730055123
251,cut,1,0.03636681468674629
926,spell,1,0.0362586779765217
956,strange,1,0.036254646420386866
373,fair,2,0.035970892709786303
27,ability,1,0.035127941210060555
321,effort,1,0.035082108386707875
28,abound,1,0.034832937893301254
155,broken,3,0.03468505080470909
1085,violencebloodgore,1,0.034608421511641466
997,that,4,0.0344621502941484
316,earlier,1,0.03443212096906589
367,extremely,1,0.03436711858868494
805,question,1,0.03418447947354521
109,basically,1,0.03418206977027438
4,1600,1,0.03390894481875666
225,conceit,1,0.03384607117437568
1092,want,6,0.03373137404341741
266,delivered,1,0.03357278644579332
585,lazy,1,0.033239209800959506
146,bound,1,0.03278723784532426
53,aliens,3,0.03275047269595598
440,glad,2,0.03230111280579819
423,from,2,0.031850832873030636
172,by,2,0.031847001477314237
880,seat,2,0.03159418210071271
560,jogs,1,0.0314689330115346
479,hat,1,0.03142581218039275
186,certification,1,0.031347697486179486
923,spectacular,1,0.031346632650308744
279,device,1,0.030805294681585157
875,screenplay,1,0.030715853591735908
1109,weasel,1,0.030536170414559163
834,rent,1,0.03007996240758218
634,mans,1,0.030053255177912293
1038,trash,2,0.03002097958119747
446,godzilla,2,0.02988170261526715
663,most,3,0.029638358606873975
528,incoherent,2,0.029555611989618497
1064,unreal,1,0.029478144349252104
821,reboots,1,0.02938328338252917
955,storylines,1,0.02908396619625661
237,courses,1,0.029066144421518624
75,appeared,1,0.028715274771433683
930,spine,1,0.02838181997786327
1118,whitespikes,1,0.028342691094250465
41,added,1,0.028162768091026642
245,credible,1,0.02814209069617414
954,storyline,3,0.02794533154503256
49,aged,1,0.027676364506552264
72,apart,2,0.02761776105757155
275,deserves,1,0.027442220377733213
263,decided,1,0.02736899313521744
719,outstayed,1,0.027352155828578716
167,business,1,0.027347643543487937
1152,xfiles,1,0.02723507836072142
1000,theirs,1,0.026913239790836905
222,comparison,1,0.026853803708592677
853,royale,2,0.026699495658448744
859,sacrilege,1,0.02659148479981514
256,dark,2,0.026290630438879498
952,stinker,1,0.026073691972991773
682,nevertheless,3,0.02605488474129219
347,escape,1,0.025880424167779886
234,count,1,0.025749582755321465
14,2h,1,0.02554195446844367
820,reasonother,1,0.025478485386997
5,18,1,0.02544297267591154
934,stallone,1,0.025349358747960956
925,speedy,1,0.02524831233027071
1,10,1,0.025191693027914918
87,avatar,1,0.025035643666068284
927,spend,3,0.024752057211625298
947,steel,1,0.024357925765926103
60,america,2,0.024255753169847225
197,cheesy,1,0.024087903294284053
1065,unreasonable,1,0.024007910950390076
562,jump,1,0.02395674576894923
822,reccomend,1,0.02391194295088815
227,consensus,1,0.02387669701902878
933,stages,1,0.02365036008872555
92,awareness,1,0.023272440019401028
507,horses,1,0.023198196032708583
277,destroyed,1,0.02310544295369573
536,intelligence,1,0.023052699518886367
557,japanese,1,0.02299662018040062
160,budget,1,0.022781200062262273
555,jail,1,0.022597645534588543
217,comedy,1,0.02254304615019763
1020,thriller,1,0.0225164153791327
573,kingsmen,1,0.02250696143126641
899,similarities,1,0.02248551953362118
912,soldiers,1,0.02223362158326469
826,red,2,0.02217945643806651
1111,weird,1,0.02212232302668818
62,americans,1,0.021907880684003823
0,1,2,0.021766679624279493
22,5023kbps,1,0.02167791172113547
873,scientist,1,0.021461732541234697
792,probably,2,0.02141891981234848
1062,unimpressed,1,0.021046670694801956
378,fan,3,0.02099732245148626
819,reasonable,3,0.02052718244065379
269,demons,1,0.02049368270239055
110,be,7,0.020362695180577355
214,coherent,1,0.020235171345177883
764,played,2,0.02019650748064891
341,entertainment,3,0.020051727347648856
611,load,2,0.020011050783811844
994,than,5,0.01983271749805456
477,hardly,1,0.019777047224267895
603,likes,1,0.019581350897704068
510,however,2,0.01955920480717691
1142,worry,1,0.019274437812407057
985,teachers,1,0.019161666474245744
608,literally,1,0.019142202774140086
901,simply,2,0.018984577897010163
538,interest,2,0.01891791955994182
849,rips,1,0.018738111219381993
863,satire,1,0.01862535939155709
228,constantly,2,0.018409719017234677
578,lacked,1,0.018376401333536067
448,goodi,1,0.018311526742908694
1093,war,1,0.01817705455487204
492,highly,1,0.017965998429274353
686,nightmare,1,0.01789148157283176
559,joe,1,0.017865832298058198
944,state,1,0.01785341849450922
410,focus,1,0.017786710637107125
1067,unwatchable,1,0.01775989725202198
657,moneynot,1,0.01769643069906079
1036,total,2,0.017548424806458126
787,pretend,1,0.017539740704484125
802,pursued,1,0.017410233196673897
878,scripting,1,0.017388533989783236
846,reworking,1,0.017371223366924222
100,baad,1,0.017293060368979016
622,loud,1,0.017084781660811933
339,entertained,1,0.016735455300628994
430,game,1,0.01663245095894868
640,means,3,0.01651666285828915
1135,word,1,0.016485521115764058
641,meant,1,0.016457915936768586
445,god,1,0.01631205728018602
255,daniel,2,0.015732491856437568
887,sense,3,0.015665270006175888
960,stuck,1,0.015526383877375576
16,3040,1,0.015479651573356288
218,comments,1,0.015381173505575834
113,became,1,0.015099721650674582
1114,wet,1,0.015082978972489223
829,rekindle,1,0.015002321238809646
675,narrative,1,0.01494251353263755
313,dumbing,1,0.014784141815241422
913,solid,1,0.014767039495468091
343,entirely,1,0.014737531734436633
671,must,1,0.01459397558869092
323,egestion,1,0.014365344051263648
991,terriblenot,1,0.014352855708237694
36,actionadventure,1,0.014312087528873219
142,both,2,0.014265730534164456
68,annoying,1,0.014218155852393695
1133,wonder,1,0.014190230031436176
816,real,4,0.014178074580199939
565,just,5,0.014100923270247123
706,on,6,0.014043024312803978
999,the,52,0.013974685932340648
649,met,1,0.013924953313427288
420,free,1,0.013077310760101128
575,know,15,0.012953922544631938
1119,who,1,0.012272339228607836
485,heavy,1,0.012159245014664791
409,flat,1,0.01212673428333428
631,makes,1,0.011927244451460955
1147,would,5,0.01188296177402908
1047,true,1,0.01184385484056879
50,ahab,1,0.011824381891686199
1079,very,14,0.011423957434332234
890,series,2,0.011393907728408575
613,lockjawcgi,1,0.010454399809728872
1105,we,3,0.009850568904756883
338,enough,1,0.009797885734405555
379,fans,1,0.009593312732164069
122,bingo,1,0.009533798983464202
517,husband,1,0.009202492792923319
522,if,3,0.00907165828013743
722,overlong,1,0.008960685854957223
967,such,1,0.00885328809303959
694,not,22,0.008628406767926174
64,and,26,0.008486644305947453
1068,up,5,0.008169984943747164
874,scifi,5,0.007990530618234428
710,opportunity,1,0.007949818103754358
54,all,2,0.007878755929368578
1034,too,5,0.007187260465172344
254,dad,1,0.007140683193085949
886,seenawaste,1,0.007093533193467644
597,life,2,0.007056072620665028
1056,typical,1,0.006991946247916642
527,in,10,0.006752371124256626
1030,to,13,0.006701315556547237
650,midway,1,0.006571930165476838
1058,understoodand,1,0.006331603617746939
168,but,16,0.006116210159169454
322,effortsand,1,0.006061021574067409
326,embarrassed,1,0.005901700194005393
766,please,1,0.005285051435272918
672,muttered,1,0.0052710312700242085
25,90,1,0.005197004856867159
541,interspersed,1,0.0049265552981539356
928,spending,1,0.004864267019140577
305,dont,4,0.004696173715463703
1113,were,2,0.004600096143990208
244,creature,2,0.004351966174921609
449,goodies,1,0.004086501171700303
1094,warned,1,0.003899034162770908
910,small,1,0.0037686590187088745
297,disappointednot,1,0.0037629571615720348
1160,your,5,0.0037304675967322273
480,hate,2,0.003372597604051286
709,opinion,2,0.0033386770887187814
205,classic,3,0.0032658351372551035
550,isnt,1,0.0032273012950819924
1116,when,2,0.002920878906114359
1115,what,2,0.0025375375220913475
1011,this,9,0.0012683529442051207
689,nod,1,0.0009588947263505334
108,basic,1,0.0006817448227247662
741,patronise,1,0.0006758966542719076
6,19,1,9.520784390615294e-05
532,indictment,1,8.86834497688446e-05
333,engrossing,1,8.666916709232182e-05
1096,wasnt,1,8.627788574969737e-05
112,beat,1,7.813176933174068e-05
1077,veeeery,1,6.89723557628144e-05
51,alas,1,2.5173708894513655e-05
71,anyone,1,2.069916785901511e-05
707,once,1,2.0095311661396008e-05
882,see,1,6.368845860587918e-06
206,clearly,1,-2.6887446255651194e-06
897,siesta,1,-1.2591128068722468e-05
284,did,1,-1.9250222602464528e-05
489,here,1,-2.383231027472002e-05
812,rated,1,-2.6271501353997485e-05
964,subs,1,-2.8051576427856882e-05
385,fear,1,-2.9010549514712774e-05
981,take,1,-2.9113740445203266e-05
1127,wish,1,-3.1001300253180836e-05
1072,utter,1,-3.4200528954390655e-05
1003,there,1,-3.445709625429648e-05
900,simple,1,-4.2211029575426946e-05
590,lesson,1,-0.0001006563254996632
778,possibility,2,-0.0001116012334041322
553,its,4,-0.0003440890221078336
26,a,29,-0.0003725183436598916
547,is,7,-0.00043599462476236076
311,dross,2,-0.0007174217634870225
1021,through,1,-0.0016016941954545246
866,saying,2,-0.0016355350802303619
285,didnt,2,-0.0016881462553881375
898,similar,2,-0.0017499059768235198
1087,visuals,1,-0.0018072767482430695
314,dvd,13,-0.0018247295320597268
1075,value,2,-0.0018420567584463221
720,over,3,-0.001859206003126423
1120,whole,1,-0.0019856677307917995
178,cant,3,-0.002086054773697344
828,reilly,1,-0.002123562068777122
80,as,15,-0.0021330020072077203
1128,with,7,-0.0021742415516073066
240,craig,4,-0.0022342367393850533
1043,triology,1,-0.0023912017749840643
425,fullof,1,-0.0024037223350395725
233,could,3,-0.002724235792724492
1104,wayuhd,1,-0.0028619345432154704
1035,top,2,-0.0028745213541968785
1001,them,1,-0.0029474862756539554
935,standard,1,-0.0029963291131445587
1027,timethank,1,-0.0033131793525183737
29,abrupt,2,-0.0033775586768406748
37,actionbut,1,-0.0034778417784288706
128,bland,1,-0.003633901912039605
70,any,1,-0.0036730130075935457
392,ffilm,1,-0.0036996593147255396
1033,tomorrow,1,-0.004013345389465967
405,first,4,-0.004075376877409318
1089,wait,8,-0.004081235933877374
727,packed,1,-0.004281798490333136
215,combination,1,-0.004294042177889008
749,period,1,-0.004323323143559835
833,remake,1,-0.004333386590686488
543,interviews,1,-0.0044409108204292854
1076,vast,1,-0.004443718971432341
176,can,2,-0.004645447205066566
885,seen,1,-0.004926257777661569
922,spectacle,1,-0.005472629804273378
1084,violence,2,-0.005526584778258056
537,intense,1,-0.0055575509558543675
183,casino,1,-0.005759034434550051
700,offreally,1,-0.005861596722950265
526,improvement,1,-0.006003096205046777
464,gritty,1,-0.006157866749262278
699,off,1,-0.006305009662642333
130,blown,1,-0.006328396531686163
850,romp,4,-0.006482764336643677
69,another,1,-0.006485892104104919
549,island,1,-0.006584270570202372
173,c,1,-0.0066484194691278425
902,since,2,-0.0067580079930836335
519,i,11,-0.006848444063965269
628,lve,1,-0.006916031396624092
986,tedious,3,-0.006949105438226494
659,monster,1,-0.007066940386872837
23,7,1,-0.007295280366334762
600,liked,2,-0.007305708249066782
754,philosophy,1,-0.007641888840221808
415,for,7,-0.007803726285217089
398,final,2,-0.00799943806853385
272,depressing,1,-0.008054314159226198
799,props,1,-0.008182992057183022
688,no,2,-0.008418460490231114
91,award,1,-0.009221095208074664
673,my,2,-0.00971219676647162
664,mostly,1,-0.009796296441050683
698,of,13,-0.010265415304173495
95,awesomethe,1,-0.010469568730349158
914,some,2,-0.010501652893812089
883,seem,1,-0.010572553515954156
769,point,2,-0.010685920682942612
525,important,1,-0.01073239442368839
200,childs,1,-0.010780736139440092
784,predictable,3,-0.010786963861662552
1122,why,1,-0.01080839145675957
264,defiant,1,-0.010872872802225686
1124,will,2,-0.011228624556492943
569,keeps,1,-0.011519847221717313
202,choreography,1,-0.011589435647535866
382,farce,1,-0.011610871091755648
716,out,2,-0.011654326198175023
862,same,1,-0.011690596718319476
390,fest,1,-0.011718286786034466
292,directing,1,-0.012041637410447083
360,expected,9,-0.012115853003908106
