,word,count,mean
741,okay,2,0.2673739763330998
824,previous,5,0.25531956519530424
54,alright,2,0.2527513005146855
1149,watchable,11,0.22529936720476565
740,ok,32,0.21445038478301995
384,fair,5,0.20596096826315255
92,average,10,0.19934483845666245
872,reload,1,0.1778507470826893
1112,unusable,1,0.16977463615755556
128,bit,42,0.16681421566204074
156,brain,5,0.15504141579383493
480,gritty,1,0.15216919624013678
483,guess,3,0.14495509603682669
674,mediocre,6,0.14393852624884207
610,lacks,3,0.14327369441052243
967,spectacular,1,0.14295861411328661
371,expected,10,0.14284432146090248
583,japanese,1,0.14151414914803556
142,bond,24,0.14045328469084684
709,mum,1,0.13037512683105665
818,prefer,2,0.12922918295093191
968,spell,1,0.12495433574581345
46,afternoon,1,0.12337463840340068
994,strangely,1,0.12234147080553487
834,project,1,0.12117097359657139
106,bangs,1,0.12060457206667669
290,difficult,3,0.11861097238506446
952,skyfall,5,0.11792989482017671
227,complex,1,0.11631054591982389
472,grandchildren,1,0.11630128852524034
770,pass,3,0.116278554694709
568,intense,1,0.11540815676267573
664,mans,1,0.114855260332212
527,hopefully,3,0.1142391538430569
385,fairly,3,0.11319617901340655
821,pretend,1,0.1107929818212474
15,3,14,0.11061373222548694
958,so,1,0.11010472258315854
1067,tom,6,0.10950085490489352
964,sounds,3,0.10949933713890526
636,lineless,1,0.10917769555359717
792,places,6,0.10767868574973616
6,19,1,0.10686421852643507
333,em,1,0.10649298377724695
1041,theirs,1,0.10604549651195068
219,comments,1,0.10593182057217469
266,decent,11,0.10563023514217819
138,bluebeam,1,0.10552379357875914
134,blockbuster,2,0.10533511049442469
716,netflix,1,0.10447402575216219
493,hanks,1,0.10228166286596518
784,period,1,0.10154494681829287
955,slow,19,0.10120354337333337
712,near,5,0.10074867983181282
1095,twist,3,0.09975012367938184
445,fun,31,0.09968878006178633
1196,xxx,2,0.09918730210163104
639,little,20,0.09918139407484405
213,code,5,0.09855134848901098
364,excitement,3,0.0966514660078311
786,personally,3,0.09614982918838529
61,americans,2,0.09434668488867096
899,run,1,0.09414150457913144
817,predictable,24,0.09277423087904774
144,book,16,0.09231721446481445
242,craig,6,0.09138313683564604
963,sound,9,0.09117940973809792
291,dimly,1,0.09091734946512052
584,job,3,0.09018258324135163
567,intelligence,1,0.09008798301072378
74,appeal,2,0.08966856311075311
629,liams,1,0.08878141635220188
313,drawn,2,0.08844532911849237
1137,visually,2,0.08811146588959445
287,die,3,0.08771260075039178
129,bits,1,0.08655449109864033
772,patch,5,0.08533286817484384
414,final,2,0.08509543309408202
638,lit,1,0.0849560209967039
1031,tense,1,0.08360553558889498
544,hype,2,0.0815805298851306
174,c,1,0.08146497386266405
1054,thought,15,0.08122188911973417
1159,weird,1,0.08106516567071001
1117,usual,7,0.0810234333956233
699,monkey,1,0.08044735236332949
960,somewhat,1,0.07984165430013444
711,national,1,0.07967514423356908
868,region,1,0.07919169069913073
1094,twice,3,0.07822395121184621
1057,till,1,0.07802530730615176
700,monsters,1,0.07794848229818034
169,bullets,1,0.07787209743772013
247,credit,1,0.07759528512864379
310,dragged,1,0.0774433437714041
162,brosnan,1,0.0772800435405114
500,hd,1,0.07719137063820652
372,expecting,10,0.07695390466166181
506,help,1,0.07678627721109803
947,similar,5,0.07666343245598273
965,special,11,0.07651845669132247
609,lacked,3,0.07636925190572355
466,goos,1,0.07636388034825213
948,simple,3,0.07635405807689521
76,appearing,1,0.07631821151555689
185,cgi,10,0.0761716859674485
439,franchise,4,0.07535911105982515
257,daniel,2,0.07533238675446516
859,reccomend,1,0.07471630002848763
477,greatest,1,0.07416181338706179
926,selecting,1,0.07408859618090848
91,avatar,1,0.07396038969877257
349,entertained,3,0.07328939891800652
802,plus,3,0.07287993560631742
194,check,2,0.07211264046082716
1079,trillion,1,0.07201799556069702
618,learned,1,0.07185850596919599
403,felt,12,0.07165663729570866
1173,wing,1,0.07149550063212577
280,details,1,0.07146166794117367
611,landmarks,1,0.07139698556023116
977,standard,2,0.07115522002964315
526,hoped,2,0.07095182494012905
467,gorgeous,1,0.07078935641730312
905,sadly,2,0.07021822633387316
1134,vinci,3,0.07020129385965918
195,checking,1,0.07012657956628753
338,ending,14,0.07011240565794387
416,fine,5,0.06960841076649675
619,leave,2,0.06849955882549799
102,bad,25,0.06831789789168896
312,draw,1,0.06820510273209354
1155,weak,8,0.06805764968993851
877,renting,1,0.06803948183081637
841,q,1,0.06791721204179516
803,point,3,0.06791410096277738
110,battle,5,0.06769484971771196
369,expect,8,0.06701644264773264
235,convincing,4,0.0667157905490235
222,compared,1,0.06664641929297192
7,1st,3,0.06662610296731046
236,cookie,1,0.06657902233833154
823,pretty,10,0.06657119301667039
511,heros,2,0.06655744186586549
400,feel,9,0.0663846656205839
105,bang,1,0.06627918754824517
450,games,8,0.06611648846716806
879,request,1,0.0659526419048387
1049,think,18,0.06557999302205136
525,hope,3,0.06553323215213352
184,certainly,3,0.06532284491315664
799,plenty,3,0.06515667871505985
59,america,2,0.0649047555360147
279,detail,3,0.06479369957974261
626,lets,6,0.06438976456117272
396,fear,1,0.06418887002688711
342,english,2,0.06397536454819093
675,meh,1,0.06393153645487747
754,ott,1,0.06391830591442259
1111,unrealthe,1,0.0637086699844411
29,abrupt,2,0.06364762511617983
1077,treasure,1,0.0635483217758117
1064,titles,1,0.06339998761438856
309,drag,3,0.0631880332434289
660,mail,1,0.0631860087083346
229,concerned,1,0.06309342673878555
608,lack,4,0.06289599667889652
902,rushed,3,0.0627263299675511
590,justice,3,0.06271540370521331
663,man,6,0.06259713030534508
438,found,1,0.06258606171415107
788,philosophy,1,0.062284293985234294
221,compare,2,0.06221900622039597
303,diverted,1,0.06193887106539122
513,high,3,0.061920825332564274
18,370p,1,0.0618647329590679
553,impress,1,0.0614564165014202
70,apart,4,0.06141223164345432
523,home,3,0.06094328225006592
329,effects,14,0.06092311925299003
456,giant,4,0.06092291231244359
72,app,1,0.06080706240474373
852,real,4,0.06067425213497597
949,simply,1,0.06063200768414861
973,spoil,2,0.06052824641372745
1068,tomorrow,7,0.06033040711156613
392,far,11,0.06026958409530798
570,interested,4,0.06017169755492577
504,helicopter,1,0.06015553880764274
538,human,2,0.060101951328004735
1052,tho,1,0.060080592754622936
401,feels,3,0.05999749116224381
971,spent,2,0.05962906863208241
1100,ultimately,3,0.05944021082438014
624,let,6,0.059424164970555006
484,guessing,1,0.05938845221529567
528,hopes,1,0.05915161735389126
319,drunk,1,0.058789030139556615
201,chose,1,0.058551186677886315
890,roads,1,0.058409268619837265
350,entertaining,8,0.058215779565794226
974,spoiled,2,0.05814858379607729
763,panache,1,0.05805906313368699
1106,unfortunately,5,0.057814307479735504
518,history,1,0.057717649228308396
143,bonds,5,0.057625934221852325
826,prime,3,0.05755997478300742
1073,track,1,0.057354061117015916
432,ford,1,0.05673866182996732
462,good,102,0.05667155473097736
1156,weakest,1,0.05635941810937825
1004,success,1,0.05629683579436429
253,cut,2,0.05626680571700021
45,aficionados,1,0.05623416839782298
332,effortsand,1,0.05600252755978948
857,reasonable,7,0.055998468933497116
167,build,1,0.05574513899270138
969,spend,2,0.055694408594269135
925,seenawaste,1,0.05560540835764686
757,overlong,2,0.05558440339559631
1104,understoodand,1,0.0555444547039891
927,self,4,0.05537721402006235
215,combination,1,0.05532976033195497
1138,visuals,3,0.05488473304193129
557,improving,1,0.0546453486753921
539,humans,2,0.054544375064632465
258,dark,4,0.05445957624401046
104,baddies,1,0.054375897984685076
1097,type,4,0.05433884921114591
1098,typical,3,0.0543373090306832
331,efficient,1,0.05405882795568709
951,skull,2,0.05388808885984593
49,air,2,0.053649295112466716
585,jobs,1,0.05309249309046748
688,mind,4,0.053040842569179666
345,enjoyable,13,0.05297970479923986
560,inconclusive,1,0.052808902703185084
1158,weekend,1,0.05280147551859478
86,atmospheric,1,0.05251995443493587
131,bladerunner,3,0.05247803815910428
474,grandson,1,0.052467472638272145
999,stunts,5,0.05237534020871308
1123,value,5,0.05230118434482396
1188,woudl,1,0.05222690093187783
478,grey,2,0.052135787423632306
145,books,6,0.05169996364117968
358,eventually,1,0.05160762658073393
815,predator,1,0.05147021271948094
103,baddie,1,0.05140981574040616
574,investment,1,0.051369902533065635
806,pokers,1,0.05110843444081387
787,philosophical,1,0.0510984104863518
901,running,3,0.05096595810581613
379,eyes,4,0.05090590659377539
254,da,1,0.050831533256659574
