,word,count,mean
1294,unusable,1,0.3438381672208864
833,mum,1,0.32804844551968904
1007,reload,1,0.3261119416969282
689,japanese,1,0.3017723092147526
455,fair,5,0.29555881947771895
69,alright,2,0.28736550072432787
272,complex,1,0.2702490070967531
863,okay,2,0.24519823859624854
957,previous,5,0.2440038493191453
195,brain,5,0.2305106030785587
1153,strangely,1,0.23027175744433215
1339,watchable,10,0.23027155141569625
1217,theirs,1,0.22135731703596562
1078,selecting,1,0.205444495968195
6,19,1,0.20389257012240064
115,average,10,0.2025654803516585
557,goos,1,0.20194024687308643
262,comments,1,0.19746179858109245
747,lineless,1,0.19635010131220876
967,project,1,0.19632555607515845
912,period,1,0.194534029676534
131,bangs,1,0.19139120824086014
953,pretend,1,0.19013165458137837
1123,spectacular,1,0.19009380054059394
563,grandchildren,1,0.18923438114452323
840,netflix,1,0.18871794332956077
674,intense,1,0.188693503858784
577,guess,3,0.1836557544834847
738,liams,1,0.18229405479013255
395,em,1,0.18209883093688892
173,bluebeam,1,0.18086981600004012
346,difficult,3,0.17985470223078948
914,personally,3,0.17876890158335138
973,q,1,0.17481512671590282
37,abrupt,2,0.17323797513709932
791,mediocre,6,0.17258107288533067
1125,spell,1,0.17005084361320272
625,hopefully,3,0.16698362792533114
898,pass,3,0.1651114591446803
559,gorgeous,1,0.16077745665617382
1380,woudl,1,0.16015184094342977
716,landmarks,1,0.15786043925750726
573,gritty,1,0.1563859736743223
77,americans,2,0.15313643602352764
1325,visually,2,0.15210601355881798
371,drawn,2,0.15041284860905352
862,ok,31,0.15030291855782024
672,intelligence,2,0.1502674943508626
297,credit,1,0.14838831630705465
835,national,1,0.1482122250930298
749,lit,1,0.14772129337367113
1205,tense,1,0.14711756711255503
1043,run,1,0.14688694558658724
564,grandpa,1,0.1468669934860599
1114,somewhat,1,0.14584177023575443
440,expected,8,0.14512447299306228
804,mildly,1,0.14102799699888574
58,afternoon,2,0.14019664883843086
1229,tho,1,0.13993198516115973
1390,xxx,2,0.13869052547292135
256,code,5,0.13731420058446223
159,bit,42,0.13689932848576425
948,prefer,2,0.13648652501934058
178,bond,23,0.1363614988995494
89,app,1,0.13613260715935588
715,lacks,3,0.13461819790520868
852,notes,1,0.13406135112635018
1243,tom,6,0.1332446973238135
656,impress,1,0.13139483774716493
91,appeal,2,0.13085931618337898
391,efficient,1,0.13058520981433436
347,dimly,1,0.1304648893934259
1128,spent,2,0.13026342282304434
280,convincing,4,0.12837501808589938
773,mail,1,0.12621984621756077
1362,wing,1,0.12620435105173086
432,excitement,3,0.12467684660552424
1120,sounds,3,0.12383718907765935
1102,simple,2,0.12309389710059593
456,fairly,3,0.12296026541487669
214,c,1,0.12256040980408536
569,greatest,1,0.12228479465486636
624,hoped,2,0.12183009016762975
779,mans,1,0.12180628415382909
351,disapointing,1,0.12101929866440103
95,appearing,1,0.12100074487617363
1105,skyfall,5,0.12097357053009153
889,panache,1,0.12085905131994071
1032,roads,1,0.11986491054571427
130,bang,1,0.11981704303494228
726,learned,1,0.11969420852636595
19,3,14,0.11698906107915703
836,near,6,0.11672184036129445
242,chose,1,0.11583999826287596
1238,tired,1,0.1152918033047519
1005,region,1,0.11505261894749473
1293,unrealthe,1,0.11437650778845215
922,places,6,0.11411031194371551
56,aficionados,1,0.11263149871841159
523,franchise,4,0.11209440987873
1016,request,1,0.11167329246689692
289,craig,4,0.11008546957813278
368,dragged,1,0.10949397755024266
598,helicopter,1,0.10920667272228511
451,faded,1,0.10857535381247269
592,hd,1,0.10852169459625124
585,hanks,1,0.10833188792560669
690,job,3,0.10820061130801077
529,fun,28,0.10722821791127732
821,monkey,1,0.10653096435362443
