,word,count,mean
3,12a,1,0.874528801080175
891,refreshing,3,0.49447746799980785
791,partner,1,0.4910431988189762
395,fabulous,1,0.43347742568048897
86,aside,1,0.42184082796893857
524,ho,1,0.38889591324187517
1162,uv,1,0.3605240262948581
167,brilliant,15,0.3598842453214331
679,masterpiece,3,0.35001927902425667
380,excellent,16,0.3327697184359187
56,amazing,7,0.3074414056189992
288,describe,1,0.30613595516668995
1053,superb,5,0.30507503565577637
404,fans,5,0.2995941702817715
1163,v,2,0.2957929182394614
1172,viewing,1,0.29047527368549175
489,groundhog,2,0.2804271726194995
104,awesome,1,0.270753361222766
316,disc,2,0.2588292978269935
171,bruce,1,0.2541681155909541
723,national,1,0.2524985717160728
500,happy,1,0.2511407168457792
479,great,84,0.25030778060140924
1074,thank,1,0.24909870561009426
666,loves,4,0.24688547574746972
289,described,1,0.24318878499368587
731,nicely,1,0.24141769646346922
992,sorted,1,0.2414158844108525
405,fantastic,6,0.23890751965684742
439,fleshing,1,0.23177763022645884
991,sort,4,0.2280078017169433
664,loved,19,0.22217188707489574
663,love,20,0.22114684301878426
83,arrived,2,0.21683401573088326
359,enjoyed,35,0.20876981636796654
774,outstanding,2,0.20662234625314807
356,engrossing,1,0.20210068524152924
862,quality,2,0.19973730023862807
170,brought,1,0.19910394343872878
429,finally,1,0.19007618254007996
357,enjoy,20,0.18818495430388835
4,1600,1,0.1875111938140726
350,end,6,0.1816706714283848
1090,thoroughly,3,0.1810639790470431
747,numbers,2,0.17864997213468525
244,consensus,1,0.17712963540144974
480,greater,2,0.17699877765818667
746,number,3,0.17373429222509842
460,gerrard,2,0.1705454905826963
403,fan,4,0.17029333029367114
853,product,1,0.16876338367110966
783,packed,4,0.16856824805056972
226,come,3,0.16819133054085897
448,free,1,0.16807672308537625
804,perfect,3,0.16586289723966904
77,appear,1,0.15197792136801977
1247,years,1,0.14881140043739027
474,gosling,1,0.1479720438411507
801,penny,1,0.14599239088115445
139,bland,1,0.14145790294944985
481,greatest,2,0.14049692320516505
750,obviously,2,0.1391587675018539
387,expectations,1,0.13773806841664754
1093,thrilling,1,0.136502092713759
1236,worthy,1,0.1364184137455828
945,scifi,10,0.13623197121058783
881,recommend,15,0.13320154028514616
1032,strange,1,0.13254584151404689
1019,steel,2,0.13237169979264699
202,chapter,4,0.13213180331639496
1232,worried,1,0.13194369099445916
16,4,2,0.1300366445537865
358,enjoyable,20,0.1265928961280109
882,recommended,6,0.12515845737342968
27,abound,1,0.12232754649145842
38,actions,2,0.12204173050754688
318,distraction,1,0.11850757473389031
426,films,18,0.11478566818329698
733,nitpicky,1,0.11312126221650917
854,production,3,0.11208450562338941
281,defiant,1,0.11088380980357274
312,disappoint,1,0.11086916665839643
35,action,72,0.11036289537049121
6,1982,1,0.11033181748829028
1066,team,2,0.10959876997402383
459,gerard,2,0.10917883749772006
810,philosophy,1,0.10854656893742351
339,edge,4,0.10521126881206946
1134,tweaks,1,0.103819233172073
282,definitely,6,0.10333866323574459
179,buy,4,0.10272157343624
1171,view,1,0.10144058789431026
730,nice,8,0.10003106189951534
347,emotion,2,0.09891301356027754
689,memorable,1,0.09885875748541854
781,packaged,1,0.09842346560680892
716,moviesthe,1,0.09552233743607945
557,impressive,1,0.09394990106210811
1039,stunning,4,0.09334530417476625
1029,storywise,1,0.09301513785353721
1100,tin,1,0.09159956080198163
277,dear,1,0.08928717210617702
908,required,1,0.08905323856545594
349,emotions,1,0.08884254937961372
425,film,99,0.08780354775814528
1078,theirs,1,0.0877473010704562
1058,surreal,1,0.08759492219284164
188,carried,1,0.08714426778802979
577,interviews,1,0.08649951180197044
1150,unmissable,1,0.08569664679283562
128,best,19,0.08417319564400891
967,shone,1,0.08322059408439683
321,done,1,0.08007026815656655
677,mash,1,0.07959826132357396
616,kong,9,0.07867522946214232
92,atmospheric,1,0.07802813187057622
843,present,2,0.07675020186983325
402,family,3,0.0758769884590637
1012,stand,1,0.0752156787068824
1048,suit,1,0.07416066562414833
780,package,2,0.07412119578387551
1149,uninteresting,1,0.07254640392391404
214,classic,8,0.07225224594914452
935,satisfying,1,0.07169686172375839
262,cult,1,0.0713736657312132
427,final,2,0.06819172328283885
1181,waiting,2,0.06819099064454935
468,good,121,0.06730658518470929
1179,wait,14,0.06596730745484332
610,kind,1,0.06463468787280932
73,apes,1,0.0645911651903799
1068,teenagers,1,0.06446773876697538
519,highly,1,0.06422752215429123
699,minis,1,0.06268435384178826
180,c,1,0.062431836908988514
725,need,1,0.06242596161579949
691,men,3,0.06218493678134084
182,came,3,0.06215491738865073
943,sci,1,0.06185190940894364
64,animals,1,0.06067747465657035
714,movie,39,0.05998085873216055
929,runtime,1,0.05747583972613815
833,potential,1,0.05551955050393852
779,pack,1,0.05508544029765168
364,entertaining,9,0.05485776972712907
485,gripping,2,0.054113845970665916
512,helicopters,2,0.05396610676357774
732,nightmare,1,0.052228956843624205
572,intelligent,1,0.05157188901378105
554,immensely,1,0.05128256953903523
851,probably,1,0.05085949671413479
409,fast,1,0.05033785257951597
932,sad,1,0.04996472530799169
1035,struggling,1,0.04934898483218326
285,delivery,2,0.04909008496222393
1056,surprise,1,0.049023201258605514
250,count,1,0.04805182433907486
1225,wonderful,1,0.047384047129251206
155,boredom,1,0.046016017206787864
20,5,3,0.04460960260833847
212,chris,2,0.04398823834677901
434,finish,2,0.04379159980171237
907,require,1,0.04371020252880482
982,slwed,1,0.04362195034634562
947,seat,3,0.0436100467793413
303,different,4,0.043603502508204425
836,pratt,9,0.043452636763704186
948,second,2,0.04344782659755735
834,practical,1,0.043359684967518
335,dvd,9,0.04304936625762618
1038,stuff,3,0.04282760298947665
79,appearing,1,0.04269869121929055
939,scenery,1,0.04230980229599405
591,jogs,1,0.04210044816515968
715,movies,4,0.041371307347919294
478,gratuitous,1,0.04010795942198972
1192,watching,14,0.0398544314236725
147,body,1,0.039625099938321466
1117,trappings,1,0.03952170687957889
1006,spiritual,1,0.0394979831542922
195,cast,2,0.03873248806631746
914,riding,1,0.03761023279933668
1185,was,8,0.03746968141789255
797,patient,1,0.03711150985551846
1127,true,1,0.036001680394216695
1002,spend,1,0.0359484004968869
1061,system,1,0.035594484193610165
893,reilly,1,0.035326797743626966
638,like,15,0.03530395857172142
363,entertained,3,0.03466651171783763
231,common,1,0.03463935061812575
367,epic,1,0.034511368956182134
383,exciting,3,0.034045291470801646
200,change,2,0.03361154343233184
533,hopelessly,1,0.03350168031667562
453,future,1,0.033305788933661006
1004,spent,2,0.03320586508460877
234,compared,1,0.03311196658232634
558,improvement,1,0.03302815639672142
1180,waited,1,0.03278556164786464
1037,studded,1,0.03230389214416579
630,lesson,1,0.03227790763951542
279,decisions,1,0.032162939217876906
445,format,1,0.03193532398589681
996,spectacle,1,0.031787025886183755
162,bought,4,0.031465756499683695
196,centre,1,0.0307637692723187
103,awareness,1,0.029854736467461285
600,keanu,1,0.02985333724510563
78,appeared,1,0.02870336320297325
978,slightly,2,0.02852204840707863
598,jw,1,0.02825157645080995
239,conceit,1,0.028184997902612335
280,deep,1,0.02812296097662112
390,experience,1,0.028029384637324666
509,hearted,1,0.027600703762668658
1096,time,12,0.027580012380660813
346,embarrassed,1,0.027008532774927683
812,piling,1,0.026881297713346044
394,eyes,1,0.026502878062002574
236,complete,1,0.026163931220739668
