,word,count,mean
179,brill,2,0.3605453902110308
444,fabulous,1,0.3434380491314631
180,brilliant,15,0.30934379388808625
1036,safely,1,0.30524443020141834
1184,thank,2,0.30137518026372384
144,birthday,1,0.2941724156611523
993,red,2,0.28324848003488684
885,partner,1,0.2829204667077237
48,adventure,2,0.27378278396313643
892,peeta,2,0.26924233526681446
424,excellent,14,0.26120571652332575
738,logo,1,0.2426860140606254
661,item,4,0.24212091514640857
404,engrossing,1,0.24108124726378027
112,awesomethe,1,0.23652608271208833
64,amazing,7,0.23144170598396346
1203,thoroughly,5,0.23035272871621984
551,groundhog,2,0.22992365092245598
998,refreshing,2,0.2158536156713693
92,arrived,2,0.21551465620413307
750,loves,4,0.20838507076657525
990,recommended,5,0.20671863378095026
439,expressions,1,0.20601933565707664
1258,unexpectedly,1,0.20154335702491394
1042,scattered,1,0.19999192360999218
472,figures,1,0.1970273589929342
544,great,75,0.1964506450534814
947,price,1,0.195532445428852
523,gift,1,0.19324148671951977
1262,unmissable,1,0.1926627999212157
461,favourite,4,0.19265157170019542
545,greater,1,0.19002296869730162
1300,waited,1,0.1895384658624013
749,loved,19,0.18589525918197972
50,adverse,1,0.18442214700728862
1280,uv,1,0.18337151982532887
139,bet,1,0.18251107143074474
95,asinb0063fqreo,1,0.18127569626032355
547,greatgood,1,0.1802001179404103
315,defiant,1,0.1798883699791143
1140,stunning,3,0.17949907125664497
894,perfect,3,0.17890331338653567
1053,seat,4,0.17820697713184436
233,choreography,1,0.1776023681169341
146,bitrate,1,0.17758314300023445
173,bound,1,0.17079336946598045
52,affection,1,0.17051835811428778
1157,superb,5,0.16985775276749057
511,gale,1,0.16942674157509496
28,5023kbps,1,0.16915569463357033
676,katniss,1,0.1689431196602659
710,legacy,1,0.16882711815544527
1208,thrills,1,0.16698415150612123
1269,unusual,1,0.16692086389644073
953,product,1,0.16671737839985937
5,12a,1,0.16333806874631818
536,gore,1,0.1632739787133446
1333,wholesome,1,0.1620859737271273
598,hooked,1,0.16168924339038088
407,enjoyed,27,0.1609753482120665
425,exceptional,1,0.16021271236094733
1175,teens,1,0.15961849610015694
1207,thrilling,1,0.15945297670326739
43,actions,1,0.1568853824651897
26,4k,1,0.15564326717111204
873,packaged,1,0.15554780408912505
1191,themway,1,0.15492915130419846
748,love,18,0.15491153156055731
22,3d,2,0.15389313291065354
989,recommend,17,0.15195374996352418
866,outits,1,0.15178925528637455
319,delivery,2,0.15084359304315859
184,bruce,1,0.15034566941648025
1060,sensical,2,0.15007039369796038
1299,wait,13,0.15001457930014758
270,concussion,1,0.1487726699059614
222,chapter,4,0.1481746044288399
617,hunger,8,0.14805618909688875
100,ass,3,0.14766409935402938
549,gripping,2,0.14717609720158037
327,describe,1,0.14700612561125856
343,digital,2,0.1450313623128331
454,fantastic,8,0.14306398455862046
183,brought,1,0.14221084163395262
197,calm,1,0.13904775201745517
487,fleshing,1,0.1363614501879175
827,nightmare,1,0.13386868868701413
874,packaging,1,0.1322014082080187
307,date,1,0.13177678084804023
426,exciting,4,0.1316115435661569
133,beat,1,0.12897834500383445
235,christmas,1,0.12742166458581608
546,greatest,1,0.12663402615336786
51,advertised,1,0.1256037247761109
586,highly,3,0.12507072785172965
1148,subverts,1,0.12457298076449731
405,enjoy,14,0.12451103964430828
933,possibility,2,0.12435997786137562
704,lawrence,1,0.12409962423875472
569,happy,1,0.1235671899847976
1290,viewing,1,0.12343311651040038
354,disc,3,0.12234819710924495
736,local,2,0.12187281489087766
1229,tributes,1,0.12148176089964943
825,nice,6,0.12103483745461442
1201,thisit,1,0.1209478469973795
826,nicely,1,0.11852985259650307
1244,twist,3,0.1182533217655366
965,pursued,1,0.11642078141644732
779,message,1,0.1162929190531717
819,negative,1,0.11575091019652176
988,received,1,0.11407248728392146
1213,tin,2,0.11368447476260153
962,purchase,1,0.11363857113768092
