Index,movie,title,body,sentiment,label,GB_right,NB_right,SVM_right,DT_right,LR_right
0,The Hunger Games: Mockingjay Part 1,Four Stars,A must for all Hunger Games fans .,2.0,positive,1,1,1,1,1
1,Skyfall,You know what you're getting,"It's Bond. There are goodies, there are baddies, some stuff gets blown up. Not as good as Casino Royale, but then what is?",2.0,positive,0,0,0,0,0
2,The Tomorrow War,Great survival aliens apocalypse sci-fi,Nice surprise movie! Really enjoyed the storyline and the action! Will watch again!,2.0,positive,1,1,1,1,1
3,Kong: Skull Island,Opp's,"should have been a brilliant story sucked, Felt cheated the film had such great actors.",0.0,negative,0,0,0,0,0
4,Boss Level,a funny wholesome violent adventure,"I really enjoyed this movie, the characters were all great to watch and I found myself laughing out loud a few times and it was enough sci-fi to be called Sci-fi",2.0,positive,0,0,1,1,1
5,The Tomorrow War,Absolute  gibberish,"In my all time top 5 worst, most pointless, stupid films I have ever seen.",0.0,negative,1,1,1,1,1
6,Blade Runner 2049,I was a bit like 'Meh! ' Yeah it looks great,"I was a bit like 'Meh!' Yeah it looks great, but I felt like the story line was a bit obvious. There were no surprises basically",1.0,neutral,0,1,1,1,1
7,The Marksman,no subs,"no subs, no idea what there saying",0.0,negative,1,1,1,1,1
8,John Wick Chapter 2,One Star,The film was for my son and grand children not for me just a load of rubbish,0.0,negative,1,1,1,1,1
9,Olympus Has Fallen,Great movie!,"great film,really enjoyed it great acting & plenty of action also has interviews with cast as extra.",2.0,positive,1,1,1,1,1
10,Inferno,Not as good as the other 2 in this series,Not as good as the other 2 in this series. If you have read the book first this will be a disappointment,1.0,neutral,1,1,1,1,1
11,The Tomorrow War,what a total waste,"Absolute rubbish. Predicatable, boring and bad",0.0,negative,1,1,1,1,1
12,Inferno,Third in the Robert Langdon (Tom Hanks) series,"Plenty of action but a very weak storyline means this film doesn't live up to its two predecessors in the series. Still worth watching, but disappointing nevertheless.",1.0,neutral,0,1,1,0,1
13,Olympus Has Fallen,A great film,I bought this film for my husband and he and I loved it. It was also great value. A great present.,2.0,positive,1,1,1,1,1
14,The Tomorrow War,time travel again,"worth a watch, but don't think too much about the time travel aspect.",1.0,neutral,1,1,1,1,1
15,Kong: Skull Island,The Kong has gone,"To much gun action to be honest ,typical outcome fair enough take or leave!",1.0,neutral,1,1,1,1,1
16,Horizon Line,Drivel,"Contains as much talent, interest and realism as the average social media post. A vapid, self-obsessed, pretty American girl displaying not a jot of anxiety at the prospect of being in a light aircraft without a pilot, acts about as convincingly as the average vapid, self-obsessed, pretty American girl on social media. The script is pathetic but the acting is of the standard of a primary school nativity play.",0.0,negative,0,1,0,0,0
17,Kong: Skull Island,Bundle of trouble,The cast and most of visuals are the highlight of the movie. The writing is rather weak but what really kills it for me is the absolutely terrible editing. The story suffers because of it. The whole movie is a bundle of scenes awkwardly glued together. The action parts were not very fun (or logical) either but I enjoyed some characters and overall goofy aproach.,0.0,negative,1,0,1,1,1
18,Inferno,Not brilliant,"Okay, it's not brilliant, too much like other films of similar type.",1.0,neutral,1,1,1,0,1
19,Blade Runner 2049,...Sci-Fi Fans...,"Good film, reccomend it to anyone who likes sci-fi and action films...",1.0,neutral,0,0,0,0,0
20,Casino Royale,Take it or leave it,It is what it is. Craig is not very convincing in the role,1.0,neutral,1,1,1,1,1
21,The Tomorrow War,"Predictable, by the numbers and slightly cheezy Sci fi action. Worth a watch.","By the numbers, totally predictable slightly cheezy, exposition heavy Sci fi action film.The action scenes are watchable. Not too many 'WTF why didn't/did they' moments.Worth a, watch on a slow weekend but nothing to write home about.",1.0,neutral,1,1,1,1,1
22,The Tomorrow War,Not great but worth a watch,The underlying story has merit and similarities with War of the Worlds but much of it not well portrayed as coherent and credible.,1.0,neutral,0,1,1,0,1
23,Boss Level,too fast paste and does give time to build a scene. but still a good movie,"I love films that repeat like this. like groundhog day, palm springs and source code. this seems to have a style like Deadpool just without the superhero part. I love the film itself but so much more was available and they seem to skip parts which would have been good to have the story actually have a story instead they seem to keep the film very American where they just want action all the way through with no acting or time to build a scene properly.for what was produced it was very good but missing so much.",1.0,neutral,0,0,0,0,0
24,The Grey,"Generally ok film, Keeps you on your feet but poor Ending","An ok'ish film. Be prepared some people for some gory death scenes. Personally felt the ending was very poor, If your one of these people who has to know what happens at the end of a film, i wouldn't recommend this film particular.",1.0,neutral,1,1,0,0,0
25,Inferno,Inferno,"Been better films in this genre, certainly not as good as the Da Vinci Code",1.0,neutral,1,1,1,1,1
